,Perioden,OntwikkelingTOVEenJaarEerder_6,AantalVerkochteWoningen_4,GemiddeldeVerkoopprijs_7,TotaleWaardeVerkoopprijzen_8
16,1995,,154568,93750,14491
33,1996,13.7,175751,102607,18033
50,1997,5.6,185634,113163,21007
67,1998,3.8,192622,124540,23989
84,1999,6.2,204538,144778,29613
101,2000,-7.4,189358,172050,32579
118,2001,3.4,195737,188397,36876
135,2002,1.4,198386,199752,39628
152,2003,-2.5,193406,204829,39615
169,2004,-0.8,191941,212723,40830
186,2005,7.7,206629,222706,46017
203,2006,1.5,209767,235843,49472
220,2007,-3.5,202401,248325,50261
237,2008,-9.9,182392,254918,46495
254,2009,-30.1,127532,238259,30386
271,2010,-1.1,126127,239530,30211
288,2011,-4.3,120739,240059,28984
305,2012,-2.9,117261,226661,26578
322,2013,-6.1,110094,213353,23489
339,2014,39.4,153511,222218,34113
356,2015,16.1,178293,230194,41042
373,2016,20.5,214793,243837,52374
390,2017,12.6,241860,263295,63680
407,2018,-9.7,218491,287267,62765
424,2019,0.0,218595,307978,67322
441,2020,7.7,235511,334488,78776
458,2021 ,-4.0,226087,386714,87431
